subject,http://purl.org/dc/terms/source,http://purl.org/dc/terms/description,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2000/01/rdf-schema#comment,http://purl.org/vocab/vann/preferredNamespacePrefix,http://purl.org/vocab/vann/preferredNamespaceUri,http://purl.org/dc/terms/modified,http://purl.org/dc/terms/conformsTo,http://www.w3.org/2002/07/owl#imports,http://www.w3.org/2002/07/owl#versionIRI,http://purl.org/dc/terms/license,http://purl.org/dc/terms/created
https://isotc211.geolexica.org/api/sources#ISO-19158-2012,https://www.iso.org/standard/32576.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Quality assurance of data supply@en,ISO/TS 19158:2012,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19155-2012,https://www.iso.org/standard/32573.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Place Identifier (PI) architecture@en,ISO 19155:2012,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#Manual_Photogram,,,Manual of Photogrammetry,http://www.w3.org/2002/07/owl#NamedIndividual,Manual of Photogrammetry@en,Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#IAG_IUGG,,,IAG and IUGG resolutions of 1991 and 2007,http://www.w3.org/2002/07/owl#NamedIndividual,IAG and IUGG resolutions of 1991 and 2007@en,Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19146-2018,https://www.iso.org/standard/72217.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Cross-domain vocabularies@en,ISO 19146:2018,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#Implem_Spec_St_Law,,,Implementation Specification — a Draught Information System for the St. Lawrence Seaway,http://www.w3.org/2002/07/owl#NamedIndividual,Implementation Specification — a Draught Information System for the St. Lawrence Seaway@en,Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19130-2-2014,https://www.iso.org/standard/56113.html^^http://www.w3.org/2001/XMLSchema#anyURI,"Geographic information — Imagery sensor models for geopositioning — Part 2: SAR, InSAR, lidar and sonar@en",ISO/TS 19130-2:2014,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#STM_E2544,,,STM E2544,http://www.w3.org/2002/07/owl#NamedIndividual,STM E2544@en,Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#,,Sources RDF Dataset (MLGT)@en,Sources RDF Dataset (MLGT),http://purl.org/dc/dcmitype/Dataset,,,sources,https://isotc211.geolexica.org/api/sources#,2022-02-12^^http://www.w3.org/2001/XMLSchema#date,https://isotc211.geolexica.org/api/geolexica/v1.0/,https://isotc211.geolexica.org/api/geolexica/v1.0/,https://isotc211.geolexica.org/api/sources/v1.0/,Copyright 2022 OSGeo,2022-01-26^^http://www.w3.org/2001/XMLSchema#date
,,,,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,http://www.w3.org/2002/07/owl#Ontology,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#IHO_Hydro_Dict,,,IHO Hydrographic Dictionary,http://www.w3.org/2002/07/owl#NamedIndividual,IHO Hydrographic Dictionary@en,Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#Jensen_1994,,,"Jensen et al., (1994)",http://www.w3.org/2002/07/owl#NamedIndividual,"Jensen et al., (1994)@en",Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-14721-2012,https://www.iso.org/standard/57284.html^^http://www.w3.org/2001/XMLSchema#anyURI,Space data and information transfer systems — Open archival information system (OAIS) — Reference model@en,ISO 14721:2012,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19112-2003,https://www.iso.org/standard/26017.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Spatial referencing by geographic identifiers@en,ISO 19112:2003,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19132-2007,https://www.iso.org/standard/40601.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Location-based services — Reference model@en,ISO 19132:2007,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19150-2015,https://www.iso.org/standard/57466.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Ontology — Part 2: Rules for developing ontologies in the Web Ontology Language (OWL)@en,ISO 19150-2:2015,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#Booch_1999,,,Booch 1999,http://www.w3.org/2002/07/owl#NamedIndividual,Booch 1999@en,Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-19136-2007,https://www.iso.org/standard/32554.html^^http://www.w3.org/2001/XMLSchema#anyURI,Geographic information — Geography Markup Language (GML)@en,ISO 19136:2007,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-IEC-2382-2015,https://www.iso.org/standard/63598.html^^http://www.w3.org/2001/XMLSchema#anyURI,Information technology — Vocabulary@en,ISO/IEC 2382:2015,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#FindLaw,,,FindLaw,http://www.w3.org/2002/07/owl#NamedIndividual,FindLaw@en,Need source URI@en,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
https://isotc211.geolexica.org/api/sources#ISO-Guide-99-2007,https://www.iso.org/standard/45324.html^^http://www.w3.org/2001/XMLSchema#anyURI,International vocabulary of metrology — Basic and general concepts and associated terms (VIM)@en,ISO/IEC Guide 99:2007,http://www.w3.org/2002/07/owl#NamedIndividual,,,,,,,,,,
,,,,https://isotc211.geolexica.org/api/geolexica#Source,,,,,,,,,,
