dcterms:identifier,resource,rdf:type,rdf:type,osgeo:review_date,osgeo:review_decision,osgeo:review_decision_event,osgeo:review_decision_notes,osgeo:review_status
174,osgeo-review:Review174,osgeo:ConceptReview,owl:NamedIndividual,,,,,
175,osgeo-review:Review175,osgeo:ConceptReview,owl:NamedIndividual,,,,,
176,osgeo-review:Review176,osgeo:ConceptReview,owl:NamedIndividual,,,,,
177,osgeo-review:Review177,osgeo:ConceptReview,owl:NamedIndividual,,,,,
178,osgeo-review:Review178,osgeo:ConceptReview,owl:NamedIndividual,,,,,
179,osgeo-review:Review179,osgeo:ConceptReview,owl:NamedIndividual,,,,,
180,osgeo-review:Review180,osgeo:ConceptReview,owl:NamedIndividual,,,,,
181,osgeo-review:Review181,osgeo:ConceptReview,owl:NamedIndividual,,,,,
182,osgeo-review:Review182,osgeo:ConceptReview,owl:NamedIndividual,,,,,
183,osgeo-review:Review183,osgeo:ConceptReview,owl:NamedIndividual,,,,,
184,osgeo-review:Review184,osgeo:ConceptReview,owl:NamedIndividual,,,,,
185,osgeo-review:Review185,osgeo:ConceptReview,owl:NamedIndividual,,,,,
186,osgeo-review:Review186,osgeo:ConceptReview,owl:NamedIndividual,,,,,
187,osgeo-review:Review187,osgeo:ConceptReview,owl:NamedIndividual,,,,,
188,osgeo-review:Review188,osgeo:ConceptReview,owl:NamedIndividual,,,,,
189,osgeo-review:Review189,osgeo:ConceptReview,owl:NamedIndividual,,,,,
190,osgeo-review:Review190,osgeo:ConceptReview,owl:NamedIndividual,,,,,
191,osgeo-review:Review191,osgeo:ConceptReview,owl:NamedIndividual,,,,,
192,osgeo-review:Review192,osgeo:ConceptReview,owl:NamedIndividual,,,,,
193,osgeo-review:Review193,osgeo:ConceptReview,owl:NamedIndividual,,,,,
194,osgeo-review:Review194,osgeo:ConceptReview,owl:NamedIndividual,,,,,
195,osgeo-review:Review195,osgeo:ConceptReview,owl:NamedIndividual,,,,,
196,osgeo-review:Review196,osgeo:ConceptReview,owl:NamedIndividual,,,,,
197,osgeo-review:Review197,osgeo:ConceptReview,owl:NamedIndividual,,,,,
198,osgeo-review:Review198,osgeo:ConceptReview,owl:NamedIndividual,,,,,
199,osgeo-review:Review199,osgeo:ConceptReview,owl:NamedIndividual,,,,,
200,osgeo-review:Review200,osgeo:ConceptReview,owl:NamedIndividual,,,,,
201,osgeo-review:Review201,osgeo:ConceptReview,owl:NamedIndividual,,,,,
202,osgeo-review:Review202,osgeo:ConceptReview,owl:NamedIndividual,,,,,
203,osgeo-review:Review203,osgeo:ConceptReview,owl:NamedIndividual,,,,,
204,osgeo-review:Review204,osgeo:ConceptReview,owl:NamedIndividual,,,,,
205,osgeo-review:Review205,osgeo:ConceptReview,owl:NamedIndividual,,,,,
206,osgeo-review:Review206,osgeo:ConceptReview,owl:NamedIndividual,,,,,
207,osgeo-review:Review207,osgeo:ConceptReview,owl:NamedIndividual,,,,,
208,osgeo-review:Review208,osgeo:ConceptReview,owl:NamedIndividual,,,,,
209,osgeo-review:Review209,osgeo:ConceptReview,owl:NamedIndividual,,,,,
210,osgeo-review:Review210,osgeo:ConceptReview,owl:NamedIndividual,,,,,
211,osgeo-review:Review211,osgeo:ConceptReview,owl:NamedIndividual,,,,,
212,osgeo-review:Review212,osgeo:ConceptReview,owl:NamedIndividual,,,,,
213,osgeo-review:Review213,osgeo:ConceptReview,owl:NamedIndividual,,,,,
214,osgeo-review:Review214,osgeo:ConceptReview,owl:NamedIndividual,,,,,
215,osgeo-review:Review215,osgeo:ConceptReview,owl:NamedIndividual,,,,,
216,osgeo-review:Review216,osgeo:ConceptReview,owl:NamedIndividual,,,,,
217,osgeo-review:Review217,osgeo:ConceptReview,owl:NamedIndividual,,,,,
218,osgeo-review:Review218,osgeo:ConceptReview,owl:NamedIndividual,,,,,
219,osgeo-review:Review219,osgeo:ConceptReview,owl:NamedIndividual,,,,,
220,osgeo-review:Review220,osgeo:ConceptReview,owl:NamedIndividual,,,,,
221,osgeo-review:Review221,osgeo:ConceptReview,owl:NamedIndividual,,,,,
222,osgeo-review:Review222,osgeo:ConceptReview,owl:NamedIndividual,,,,,
223,osgeo-review:Review223,osgeo:ConceptReview,owl:NamedIndividual,,,,,
224,osgeo-review:Review224,osgeo:ConceptReview,owl:NamedIndividual,,,,,
225,osgeo-review:Review225,osgeo:ConceptReview,owl:NamedIndividual,,,,,
226,osgeo-review:Review226,osgeo:ConceptReview,owl:NamedIndividual,,,,,
227,osgeo-review:Review227,osgeo:ConceptReview,owl:NamedIndividual,,,,,
228,osgeo-review:Review228,osgeo:ConceptReview,owl:NamedIndividual,,,,,
229,osgeo-review:Review229,osgeo:ConceptReview,owl:NamedIndividual,,,,,
230,osgeo-review:Review230,osgeo:ConceptReview,owl:NamedIndividual,,,,,
231,osgeo-review:Review231,osgeo:ConceptReview,owl:NamedIndividual,,,,,
232,osgeo-review:Review232,osgeo:ConceptReview,owl:NamedIndividual,,,,,
233,osgeo-review:Review233,osgeo:ConceptReview,owl:NamedIndividual,,,,,
234,osgeo-review:Review234,osgeo:ConceptReview,owl:NamedIndividual,,,,,
235,osgeo-review:Review235,osgeo:ConceptReview,owl:NamedIndividual,,,,,
236,osgeo-review:Review236,osgeo:ConceptReview,owl:NamedIndividual,,,,,
237,osgeo-review:Review237,osgeo:ConceptReview,owl:NamedIndividual,,,,,
238,osgeo-review:Review238,osgeo:ConceptReview,owl:NamedIndividual,,,,,
239,osgeo-review:Review239,osgeo:ConceptReview,owl:NamedIndividual,,,,,
240,osgeo-review:Review240,osgeo:ConceptReview,owl:NamedIndividual,,,,,
241,osgeo-review:Review241,osgeo:ConceptReview,owl:NamedIndividual,,,,,
242,osgeo-review:Review242,osgeo:ConceptReview,owl:NamedIndividual,,,,,
243,osgeo-review:Review243,osgeo:ConceptReview,owl:NamedIndividual,,,,,
244,osgeo-review:Review244,osgeo:ConceptReview,owl:NamedIndividual,,,,,
245,osgeo-review:Review245,osgeo:ConceptReview,owl:NamedIndividual,,,,,
246,osgeo-review:Review246,osgeo:ConceptReview,owl:NamedIndividual,,,,,
247,osgeo-review:Review247,osgeo:ConceptReview,owl:NamedIndividual,,,,,
248,osgeo-review:Review248,osgeo:ConceptReview,owl:NamedIndividual,,,,,
249,osgeo-review:Review249,osgeo:ConceptReview,owl:NamedIndividual,,,,,
250,osgeo-review:Review250,osgeo:ConceptReview,owl:NamedIndividual,,,,,
251,osgeo-review:Review251,osgeo:ConceptReview,owl:NamedIndividual,,,,,
252,osgeo-review:Review252,osgeo:ConceptReview,owl:NamedIndividual,,,,,
253,osgeo-review:Review253,osgeo:ConceptReview,owl:NamedIndividual,,,,,
254,osgeo-review:Review254,osgeo:ConceptReview,owl:NamedIndividual,,,,,
255,osgeo-review:Review255,osgeo:ConceptReview,owl:NamedIndividual,,,,,
256,osgeo-review:Review256,osgeo:ConceptReview,owl:NamedIndividual,,,,,
257,osgeo-review:Review257,osgeo:ConceptReview,owl:NamedIndividual,,,,,
258,osgeo-review:Review258,osgeo:ConceptReview,owl:NamedIndividual,,,,,
259,osgeo-review:Review259,osgeo:ConceptReview,owl:NamedIndividual,,,,,
260,osgeo-review:Review260,osgeo:ConceptReview,owl:NamedIndividual,,,,,
261,osgeo-review:Review261,osgeo:ConceptReview,owl:NamedIndividual,,,,,
262,osgeo-review:Review262,osgeo:ConceptReview,owl:NamedIndividual,,,,,
263,osgeo-review:Review263,osgeo:ConceptReview,owl:NamedIndividual,,,,,
264,osgeo-review:Review264,osgeo:ConceptReview,owl:NamedIndividual,,,,,
265,osgeo-review:Review265,osgeo:ConceptReview,owl:NamedIndividual,,,,,
266,osgeo-review:Review266,osgeo:ConceptReview,owl:NamedIndividual,,,,,
267,osgeo-review:Review267,osgeo:ConceptReview,owl:NamedIndividual,,,,,
268,osgeo-review:Review268,osgeo:ConceptReview,owl:NamedIndividual,,,,,
269,osgeo-review:Review269,osgeo:ConceptReview,owl:NamedIndividual,,,,,
270,osgeo-review:Review270,osgeo:ConceptReview,owl:NamedIndividual,,,,,
271,osgeo-review:Review271,osgeo:ConceptReview,owl:NamedIndividual,,,,,
272,osgeo-review:Review272,osgeo:ConceptReview,owl:NamedIndividual,,,,,
273,osgeo-review:Review273,osgeo:ConceptReview,owl:NamedIndividual,,,,,
274,osgeo-review:Review274,osgeo:ConceptReview,owl:NamedIndividual,,,,,
275,osgeo-review:Review275,osgeo:ConceptReview,owl:NamedIndividual,,,,,
276,osgeo-review:Review276,osgeo:ConceptReview,owl:NamedIndividual,,,,,
277,osgeo-review:Review277,osgeo:ConceptReview,owl:NamedIndividual,,,,,
278,osgeo-review:Review278,osgeo:ConceptReview,owl:NamedIndividual,,,,,
279,osgeo-review:Review279,osgeo:ConceptReview,owl:NamedIndividual,,,,,
280,osgeo-review:Review280,osgeo:ConceptReview,owl:NamedIndividual,,,,,
281,osgeo-review:Review281,osgeo:ConceptReview,owl:NamedIndividual,,,,,
282,osgeo-review:Review282,osgeo:ConceptReview,owl:NamedIndividual,,,,,
283,osgeo-review:Review283,osgeo:ConceptReview,owl:NamedIndividual,,,,,
284,osgeo-review:Review284,osgeo:ConceptReview,owl:NamedIndividual,,,,,
285,osgeo-review:Review285,osgeo:ConceptReview,owl:NamedIndividual,,,,,
286,osgeo-review:Review286,osgeo:ConceptReview,owl:NamedIndividual,,,,,
287,osgeo-review:Review287,osgeo:ConceptReview,owl:NamedIndividual,,,,,
288,osgeo-review:Review288,osgeo:ConceptReview,owl:NamedIndividual,,,,,
289,osgeo-review:Review289,osgeo:ConceptReview,owl:NamedIndividual,,,,,
290,osgeo-review:Review290,osgeo:ConceptReview,owl:NamedIndividual,,,,,
291,osgeo-review:Review291,osgeo:ConceptReview,owl:NamedIndividual,,,,,
292,osgeo-review:Review292,osgeo:ConceptReview,owl:NamedIndividual,,,,,
293,osgeo-review:Review293,osgeo:ConceptReview,owl:NamedIndividual,,,,,
294,osgeo-review:Review294,osgeo:ConceptReview,owl:NamedIndividual,,,,,
295,osgeo-review:Review295,osgeo:ConceptReview,owl:NamedIndividual,,,,,
296,osgeo-review:Review296,osgeo:ConceptReview,owl:NamedIndividual,,,,,
297,osgeo-review:Review297,osgeo:ConceptReview,owl:NamedIndividual,,,,,
298,osgeo-review:Review298,osgeo:ConceptReview,owl:NamedIndividual,,,,,
299,osgeo-review:Review299,osgeo:ConceptReview,owl:NamedIndividual,,,,,
300,osgeo-review:Review300,osgeo:ConceptReview,owl:NamedIndividual,,,,,
301,osgeo-review:Review301,osgeo:ConceptReview,owl:NamedIndividual,,,,,
302,osgeo-review:Review302,osgeo:ConceptReview,owl:NamedIndividual,,,,,
303,osgeo-review:Review303,osgeo:ConceptReview,owl:NamedIndividual,,,,,
304,osgeo-review:Review304,osgeo:ConceptReview,owl:NamedIndividual,,,,,
305,osgeo-review:Review305,osgeo:ConceptReview,owl:NamedIndividual,,,,,
306,osgeo-review:Review306,osgeo:ConceptReview,owl:NamedIndividual,,,,,
307,osgeo-review:Review307,osgeo:ConceptReview,owl:NamedIndividual,,,,,
308,osgeo-review:Review308,osgeo:ConceptReview,owl:NamedIndividual,,,,,
